"Catégories","Sous-Catégories","Nouveauté","Référence","Titre","Description","Visuel","Animation","Format","Fichier (téléchargement)","Délai (en jours)","Echelle","Dimmension (mm)","Prix","Prix Promo","Poids (gramme)"
,,,,,,,,"3D Studio",,"Immédiat",,,2100,,
,,,,,,,,"AutoCad",,"Immédiat",,,2100,,
,,,,,,,,"DirectX",,"Immédiat",,,2100,,
,,,,,,,,"ASCII",,"Immédiat",,,2100,,
,,,,,,,,"Résine",,"3j","1/1",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/2",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/4",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/8",,85,,
,"Vehicule Utilitaire",,"IVU6","iveco_2005_face_avant","Reproduction réalisée d'après l'exemplaire réel","iveco_2005_face_avant.jpg",,"VRML",,"Immédiat",,,2100,,
,,,,,,,,"PDF",,"Immédiat",,,2100,,
,,,,,,,,"3D Studio",,"Immédiat",,,2100,,
,,,,,,,,"AutoCad",,"Immédiat",,,2100,,
,,,,,,,,"DirectX",,"Immédiat",,,2100,,
,,,,,,,,"ASCII",,"Immédiat",,,2100,,
,,,,,,,,"Résine",,"3j","1/1",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/2",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/4",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/8",,85,,
,"Automobile Accesoires",,"IAA1","jante_ats","Reproduction réalisée d'après l'exemplaire réel","jante_ats.jpg",,"VRML",,"Immédiat",,,169,,
,,,,,,,,"PDF",,"Immédiat",,,169,,
,,,,,,,,"3D Studio",,"Immédiat",,,169,,
,,,,,,,,"AutoCad",,"Immédiat",,,169,,
,,,,,,,,"DirectX",,"Immédiat",,,169,,
,,,,,,,,"ASCII",,"Immédiat",,,169,,
,,,,,,,,"Résine",,"3j","1/1",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/2",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/4",,102,,
,,,,,,,,"Résine",,"3j","1/8",,85,,
,"Automobile Accesoires",,"IAA2","jante_bbs","Reproduction réalisée d'après l'exemplaire réel","jante_bbs.jpg",,"VRML",,"Immédiat",,,169,,
,,,,,,,,"PDF",,"Immédiat",,,169,,
,,,,,,,,"3D Studio",,"Immédiat",,,169,,
,,,,,,,,"AutoCad",,"Immédiat",,,169,,
,,,,,,,,"DirectX",,"Immédiat",,,169,,
,,,,,,,,"ASCII",,"Immédiat",,,169,,
,,,,,,,,"Résine",,"3j","1/1",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/2",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/4",,102,,
,,,,,,,,"Résine",,"3j","1/8",,85,,
,"Automobile Accesoires",,"IAA3","jante_maps","Reproduction réalisée d'après l'exemplaire réel","jante_maps.jpg",,"VRML",,"Immédiat",,,169,,
,,,,,,,,"PDF",,"Immédiat",,,169,,
,,,,,,,,"3D Studio",,"Immédiat",,,169,,
,,,,,,,,"AutoCad",,"Immédiat",,,169,,
,,,,,,,,"DirectX",,"Immédiat",,,169,,
,,,,,,,,"ASCII",,"Immédiat",,,169,,
,,,,,,,,"Résine",,"3j","1/1",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/2",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/4",,102,,
,,,,,,,,"Résine",,"3j","1/8",,85,,
,"Automobile Accesoires",,"IAA4","accoudoir","Reproduction réalisée d'après l'exemplaire réel","accoudoir.jpg",,"VRML",,"Immédiat",,,169,,
,,,,,,,,"PDF",,"Immédiat",,,169,,
,,,,,,,,"3D Studio",,"Immédiat",,,169,,
,,,,,,,,"AutoCad",,"Immédiat",,,169,,
,,,,,,,,"DirectX",,"Immédiat",,,169,,
,,,,,,,,"ASCII",,"Immédiat",,,169,,
,,,,,,,,"Résine",,"3j","1/1",,"152,5",,
,,,,,,,,"Résine",,"3j","1/2",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/4",,102,,
,,,,,,,,"Résine",,"3j","1/8",,85,,
,"Automobile Accesoires",,"IAA4","aileron","Reproduction réalisée d'après l'exemplaire réel","aileron.jpg",,"VRML",,"Immédiat",,,169,,
,,,,,,,,"PDF",,"Immédiat",,,169,,
,,,,,,,,"3D Studio",,"Immédiat",,,169,,
,,,,,,,,"AutoCad",,"Immédiat",,,169,,
,,,,,,,,"DirectX",,"Immédiat",,,169,,
,,,,,,,,"ASCII",,"Immédiat",,,169,,
,,,,,,,,"Résine",,"3j","1/1",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/2",,"Nous Contacter",,
,,,,,,,,"Résine",,"3j","1/4",,102,,
,,,,,,,,"Résine",,"3j","1/8",,85,,
,"Automobile Accesoires",,"IAA5","peugeot_807_phrase_av","Reproduction réalisée d'après l'exemplaire réel","peugeot_807_phrase_av.jpg",,"VRML",,"Immédiat",,,2100,,
,,,,,,,,"PDF",,"Immédiat",,,2100,,
,,,,,,,,"3D Studio",,"Immédiat",,,2100,,
,,,,,,,,"AutoCad",,"Immédiat",,,2100,,
